id,enquiry_id,customer_id,customer_status,enquiry_date,mode,referred_by,attended_by,assigned_to,followup_date,followup_remarks,enquiry_status,is_closed,closed_reason,is_terminate,terminate_reason,total_security_amount,total_processing_fee,t_installation_fee,total_other_fee,total_rent,total_amount,amount_received_from_customer,amount_pennding_from_customer,is_mapped,e_type,mail_status,is_modified
40,ENQ000040,0,1,2017-12-14,2,0,6,5,2017-12-14,"he retired person,he want fridge because he conduct the event for one month.",0,1,,0,,2000.00,500.00,0.00,0.00,0.00,2500.00,0.00,0.00,0,0,0,0
53,ENQ000053,0,1,2017-12-13,2,0,6,6,2017-12-13,"he living with family in coimbatore",0,1,,0,,1500.00,600.00,0.00,0.00,0.00,2100.00,0.00,0.00,0,0,0,0
76,ENQ000076,0,1,2018-01-24,2,0,4,3,2018-01-24,123456,0,1,,0,,2400.00,500.00,0.00,0.00,0.00,2900.00,0.00,0.00,0,0,0,0
77,ENQ000077,0,1,2018-01-11,2,0,6,6,2018-01-11,"he is in coimbatore.",0,1,,0,,1400.00,600.00,0.00,0.00,0.00,2000.00,0.00,0.00,0,0,0,0
78,ENQ000078,0,1,2018-01-12,2,0,3,3,2018-01-12,"he is using",0,1,,0,,1000.00,500.00,0.00,0.00,0.00,1500.00,0.00,0.00,0,0,0,0
98,ENQ000098,PR0874,0,2016-04-16,2,0,6,5,2016-04-16,"she works in bank",0,1,,0,,2100.00,500.00,0.00,0.00,0.00,2600.00,0.00,0.00,0,0,0,0
101,ENQ000101,PR0876,0,2017-12-29,2,0,6,6,2017-12-30,"he is working in balaji enterprises ",0,1,,0,,11250.00,4500.00,0.00,0.00,0.00,15750.00,0.00,0.00,0,0,0,0
151,ENQ000151,PR0922,0,2018-03-12,2,0,6,5,2018-03-12,"He going to take product tor his fiance - Product delivered by Ajith and Venkat",0,1,,0,,5400.00,1000.00,0.00,0.00,0.00,6400.00,0.00,0.00,0,0,0,0
152,ENQ000152,PR0984,0,,0,0,1,1,04/17/18,1,0,1,,0,,10000.00,14000.00,0.00,0.00,0.00,24000.00,0.00,0.00,0,0,0,0
158,ENQ000158,PR1048,0,,0,0,1,1,05/04/18,1,0,1,,0,,3600.00,1000.00,0.00,0.00,0.00,4600.00,0.00,0.00,0,0,0,0
159,ENQ000159,PR1049,0,2018-05-04,1,0,3,3,2018-05-04,asd,0,1,,0,,3600.00,1000.00,0.00,0.00,0.00,4600.00,0.00,0.00,0,0,0,0
160,ENQ000160,PR1050,0,,0,0,1,1,05/05/18,1,0,1,,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
161,ENQ000161,PR1051,0,,0,0,1,1,05/05/18,1,0,1,,0,,5400.00,1500.00,0.00,0.00,0.00,6900.00,0.00,0.00,0,0,0,0
162,ENQ000162,PR1052,0,,0,0,1,1,05/05/18,1,0,1,,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
163,ENQ000163,PR1053,0,2018-04-30,2,0,3,3,2018-04-30,"she staying with family, products for personal use.",0,1,,0,,700.00,0.00,0.00,0.00,0.00,700.00,0.00,0.00,0,0,0,0
164,ENQ000164,PR1083,0,2018-05-10,2,0,6,6,2018-05-10,"he is staying with friends.",0,1,,0,,8400.00,3500.00,0.00,0.00,0.00,11900.00,0.00,0.00,0,0,0,0
165,ENQ000165,PR1084,0,2018-05-09,2,0,6,6,2018-05-09,"she staying with family.",0,1,,0,,4000.00,2000.00,0.00,0.00,0.00,6000.00,0.00,0.00,0,0,0,0
168,ENQ000168,0,1,2018-05-11,2,0,9,9,2018-05-11,"To be know Quotation",0,1,,0,,6800.00,3000.00,0.00,0.00,0.00,9800.00,0.00,0.00,0,0,0,0
